Baby,Time,Amount (oz.),Note
Yalkun,"10/13/23, 11:01 PM",1.3
Yalkun,"10/13/23, 10:01 PM",2.3
Yalkun,"10/13/23, 7:20 PM",2.3
Yalkun,"10/13/23, 5:47 PM",1.5
Yalkun,"10/13/23, 4:49 PM",2.2
Yalkun,"10/13/23, 3:15 PM",4
Yalkun,"10/13/23, 1:20 PM",1
Yalkun,"10/13/23, 12:39 PM",2
Yalkun,"10/13/23, 11:56 AM",1.7
Yalkun,"10/13/23, 8:30 AM",3.2
Yalkun,"10/13/23, 6:31 AM",0.5
Yalkun,"10/13/23, 5:32 AM",0.8
Yalkun,"10/13/23, 3:35 AM",2
Yalkun,"10/13/23, 1:20 AM",3
Yalkun,"10/12/23, 9:45 PM",2
Yalkun,"10/12/23, 6:00 PM",3.6
Yalkun,"10/12/23, 4:00 PM",1.5
Yalkun,"10/12/23, 2:30 PM",2.5
Yalkun,"10/12/23, 12:30 PM",2
Yalkun,"10/12/23, 11:30 AM",2.5
Yalkun,"10/12/23, 9:30 AM",2
Yalkun,"10/12/23, 7:18 AM",1.7
Yalkun,"10/12/23, 5:28 AM",1.2
Yalkun,"10/12/23, 2:50 AM",3
Yalkun,"10/11/23, 11:30 PM",1.8
Yalkun,"10/11/23, 7:08 PM",4
Yalkun,"10/11/23, 4:45 PM",3
Yalkun,"10/11/23, 3:00 PM",1
Yalkun,"10/11/23, 1:20 PM",1
Yalkun,"10/11/23, 12:30 PM",3
Yalkun,"10/11/23, 11:00 AM",1
Yalkun,"10/11/23, 9:15 AM",1.5
Yalkun,"10/11/23, 7:00 AM",1
Yalkun,"10/11/23, 6:31 AM",1.5
Yalkun,"10/11/23, 2:28 AM",2.7
Yalkun,"10/10/23, 11:00 PM",2.5
Yalkun,"10/10/23, 9:40 PM",1
Yalkun,"10/10/23, 7:35 PM",2
Yalkun,"10/10/23, 6:45 PM",1
Yalkun,"10/10/23, 5:30 PM",2.5
Yalkun,"10/10/23, 4:00 PM",2.5
Yalkun,"10/10/23, 12:45 PM",1
Yalkun,"10/10/23, 12:00 PM",1.5
Yalkun,"10/10/23, 11:00 AM",0.5
Yalkun,"10/10/23, 9:00 AM",2.5
Yalkun,"10/10/23, 7:00 AM",1
Yalkun,"10/10/23, 5:03 AM",2.1
Yalkun,"10/10/23, 2:54 AM",3.1
Yalkun,"10/9/23, 10:55 PM",2.8
Yalkun,"10/9/23, 7:00 PM",4
Yalkun,"10/9/23, 5:30 PM",1.5
Yalkun,"10/9/23, 1:00 PM",1
Yalkun,"10/9/23, 11:40 AM",2.5
Yalkun,"10/9/23, 9:30 AM",2.5
Yalkun,"10/9/23, 6:04 AM",1.5
Yalkun,"10/9/23, 4:11 AM",1.5
Yalkun,"10/9/23, 3:01 AM",2
Yalkun,"10/9/23, 12:45 AM",2.3
Yalkun,"10/8/23, 10:29 PM",1
Yalkun,"10/8/23, 8:10 PM",1.9
Yalkun,"10/8/23, 6:45 PM",2.1
Yalkun,"10/8/23, 3:45 PM",1.6
Yalkun,"10/8/23, 2:00 PM",1.5
Yalkun,"10/8/23, 12:00 PM",1
Yalkun,"10/8/23, 10:45 AM",2
Yalkun,"10/8/23, 8:23 AM",1
Yalkun,"10/8/23, 5:52 AM",1.7
Yalkun,"10/8/23, 4:00 AM",2.3
Yalkun,"10/8/23, 12:55 AM",1.1
Yalkun,"10/7/23, 11:15 PM",2
Yalkun,"10/7/23, 9:26 PM",2
Yalkun,"10/7/23, 6:10 PM",2.2
Yalkun,"10/7/23, 3:30 PM",1.6
Yalkun,"10/7/23, 1:25 PM",2
Yalkun,"10/7/23, 12:20 PM",1.9
Yalkun,"10/7/23, 9:15 AM",2
Yalkun,"10/7/23, 6:30 AM",2.6
Yalkun,"10/7/23, 3:38 AM",1.5
Yalkun,"10/7/23, 12:59 AM",2.5
Yalkun,"10/6/23, 11:30 PM",1
Yalkun,"10/6/23, 9:15 PM",2
Yalkun,"10/6/23, 6:01 PM",2
Yalkun,"10/6/23, 5:30 PM",2.5
Yalkun,"10/6/23, 4:10 PM",2.5
Yalkun,"10/6/23, 1:30 PM",2.5
Yalkun,"10/6/23, 12:35 PM",0.5
Yalkun,"10/6/23, 10:45 AM",2.2
Yalkun,"10/6/23, 7:05 AM",0.6
Yalkun,"10/6/23, 6:01 AM",1.1
Yalkun,"10/6/23, 4:02 AM",2.1
Yalkun,"10/5/23, 11:30 PM",3.4
Yalkun,"10/5/23, 7:00 PM",3.5
Yalkun,"10/5/23, 5:35 PM",0.6
Yalkun,"10/5/23, 4:15 PM",2.4
Yalkun,"10/5/23, 4:10 PM",1
Yalkun,"10/5/23, 1:30 PM",2.1
Yalkun,"10/5/23, 11:44 AM",2.9
Yalkun,"10/5/23, 8:35 AM",2.5
Yalkun,"10/5/23, 7:34 AM",2.2
Yalkun,"10/5/23, 4:25 AM",1.7
Yalkun,"10/4/23, 11:10 PM",3.5
Yalkun,"10/4/23, 6:50 PM",2
Yalkun,"10/4/23, 5:25 PM",2.7
Yalkun,"10/4/23, 3:45 PM",2
Yalkun,"10/4/23, 1:20 PM",2.5
Yalkun,"10/4/23, 11:30 AM",2.5
Yalkun,"10/4/23, 9:30 AM",2.6
Yalkun,"10/4/23, 7:20 AM",1.4
Yalkun,"10/4/23, 5:49 AM",1.5
Yalkun,"10/4/23, 3:45 AM",2.5
Yalkun,"10/3/23, 11:21 PM",2.5
Yalkun,"10/3/23, 7:15 PM",2
Yalkun,"10/3/23, 6:30 PM",2
Yalkun,"10/3/23, 4:00 PM",2
Yalkun,"10/3/23, 2:30 PM",2.5
Yalkun,"10/3/23, 11:30 AM",2.5
Yalkun,"10/3/23, 9:00 AM",2
Yalkun,"10/3/23, 6:50 AM",1.5
Yalkun,"10/3/23, 6:02 AM",1.4
Yalkun,"10/3/23, 2:57 AM",2.6
Yalkun,"10/2/23, 10:35 PM",3
Yalkun,"10/2/23, 6:30 PM",4
Yalkun,"10/2/23, 4:15 PM",2.5
Yalkun,"10/2/23, 1:00 PM",2
Yalkun,"10/2/23, 11:45 AM",2.5
Yalkun,"10/2/23, 7:50 AM",0.9
Yalkun,"10/2/23, 5:26 AM",1.9
Yalkun,"10/2/23, 2:23 AM",3.2
Yalkun,"10/1/23, 10:40 PM",3
Yalkun,"10/1/23, 6:55 PM",2.3
Yalkun,"10/1/23, 5:55 PM",0.7
Yalkun,"10/1/23, 5:00 PM",1.5
Yalkun,"10/1/23, 2:48 PM",2.5
Yalkun,"10/1/23, 1:16 PM",1.6
Yalkun,"10/1/23, 11:40 AM",0.5
Yalkun,"10/1/23, 11:35 AM",1
Yalkun,"10/1/23, 10:50 AM",1
Yalkun,"10/1/23, 6:50 AM",2.4
Yalkun,"10/1/23, 3:15 AM",3
Yalkun,"9/30/23, 11:50 PM",1.1
Yalkun,"9/30/23, 10:45 PM",1.2
Yalkun,"9/30/23, 10:00 PM",1.7
Yalkun,"9/30/23, 6:40 PM",2.5
Yalkun,"9/30/23, 5:15 PM",0.6
Yalkun,"9/30/23, 4:18 PM",0.6
Yalkun,"9/30/23, 1:30 PM",1.5
Yalkun,"9/30/23, 11:40 AM",2
Yalkun,"9/30/23, 10:55 AM",1.2
Yalkun,"9/30/23, 10:25 AM",0.6
Yalkun,"9/30/23, 9:05 AM",1.7
Yalkun,"9/30/23, 7:10 AM",0.7
Yalkun,"9/30/23, 6:05 AM",1.9
Yalkun,"9/30/23, 3:30 AM",2.1
Yalkun,"9/29/23, 10:25 PM",3
Yalkun,"9/29/23, 8:50 PM",3
Yalkun,"9/29/23, 6:30 PM",1.3
Yalkun,"9/29/23, 5:05 PM",2.7
Yalkun,"9/29/23, 3:40 PM",2
Yalkun,"9/29/23, 11:15 AM",2
Yalkun,"9/29/23, 10:00 AM",1.5
Yalkun,"9/29/23, 8:20 AM",2.5
Yalkun,"9/29/23, 7:25 AM",1
Yalkun,"9/29/23, 4:20 AM",3
Yalkun,"9/28/23, 11:15 PM",1.5
Yalkun,"9/28/23, 9:10 PM",2.3
Yalkun,"9/28/23, 6:55 PM",0.7
Yalkun,"9/28/23, 6:00 PM",1
Yalkun,"9/28/23, 5:15 PM",2
Yalkun,"9/28/23, 4:20 PM",2
Yalkun,"9/28/23, 11:45 AM",1.5
Yalkun,"9/28/23, 10:49 AM",1.1
Yalkun,"9/28/23, 9:50 AM",0.7
Yalkun,"9/28/23, 8:30 AM",1.4
Yalkun,"9/28/23, 7:05 AM",1
Yalkun,"9/28/23, 6:15 AM",1.9
Yalkun,"9/28/23, 3:16 AM",2.1
Yalkun,"9/27/23, 11:25 PM",3
Yalkun,"9/27/23, 9:34 PM",1.5
Yalkun,"9/27/23, 7:50 PM",0.5
Yalkun,"9/27/23, 6:55 PM",1.2
Yalkun,"9/27/23, 6:10 PM",0.8
Yalkun,"9/27/23, 3:56 PM",0.6
Yalkun,"9/27/23, 3:14 PM",1
Yalkun,"9/27/23, 1:10 PM",2
Yalkun,"9/27/23, 10:00 AM",2.8
Yalkun,"9/27/23, 9:00 AM",0.5
Yalkun,"9/27/23, 7:07 AM",1.5
Yalkun,"9/27/23, 4:40 AM",2
Yalkun,"9/27/23, 4:00 AM",1.9
Yalkun,"9/26/23, 11:45 PM",2.7
Yalkun,"9/26/23, 11:00 PM",0.7
Yalkun,"9/26/23, 9:11 PM",0.9
Yalkun,"9/26/23, 7:10 PM",2.1
Yalkun,"9/26/23, 5:10 PM",3.6
Yalkun,"9/26/23, 1:53 PM",1
Yalkun,"9/26/23, 11:49 AM",1.5
Yalkun,"9/26/23, 11:15 AM",0.7
Yalkun,"9/26/23, 10:30 AM",2
Yalkun,"9/26/23, 9:29 AM",1.3
Yalkun,"9/26/23, 6:50 AM",1
Yalkun,"9/26/23, 4:17 AM",2.5
Yalkun,"9/25/23, 10:55 PM",3
Yalkun,"9/25/23, 7:30 PM",1.1
Yalkun,"9/25/23, 6:50 PM",0.9
Yalkun,"9/25/23, 6:15 PM",1.1
Yalkun,"9/25/23, 4:25 PM",2
Yalkun,"9/25/23, 2:10 PM",2
Yalkun,"9/25/23, 11:30 AM",3
Yalkun,"9/25/23, 9:10 AM",1.5
Yalkun,"9/25/23, 7:30 AM",1.5
Yalkun,"9/25/23, 5:10 AM",3.4
Yalkun,"9/24/23, 11:15 PM",3.3
Yalkun,"9/24/23, 7:45 PM",0.7
Yalkun,"9/24/23, 7:10 PM",0.8
Yalkun,"9/24/23, 6:05 PM",2.1
Yalkun,"9/24/23, 4:15 PM",1.2
Yalkun,"9/24/23, 2:55 PM",2.8
Yalkun,"9/24/23, 2:10 PM",1.3
Yalkun,"9/24/23, 11:40 AM",2.5
Yalkun,"9/24/23, 9:45 AM",2.3
Yalkun,"9/24/23, 8:13 AM",0.6
Yalkun,"9/24/23, 7:35 AM",1
Yalkun,"9/24/23, 6:25 AM",2
Yalkun,"9/24/23, 3:48 AM",2.1
Yalkun,"9/23/23, 11:45 PM",2.5
Yalkun,"9/23/23, 8:29 PM",2
Yalkun,"9/23/23, 5:40 PM",2
Yalkun,"9/23/23, 4:40 PM",1
Yalkun,"9/23/23, 3:40 PM",2
Yalkun,"9/23/23, 2:35 PM",1.8
Yalkun,"9/23/23, 11:10 AM",2.2
Yalkun,"9/23/23, 9:20 AM",2
Yalkun,"9/23/23, 8:40 AM",0.5
Yalkun,"9/23/23, 7:50 AM",1
Yalkun,"9/23/23, 5:45 AM",1.3
Yalkun,"9/23/23, 3:05 AM",2.5
Yalkun,"9/23/23, 12:10 AM",1.3
Yalkun,"9/22/23, 11:45 PM",0.2
Yalkun,"9/22/23, 8:05 PM",1
Yalkun,"9/22/23, 7:30 PM",1
Yalkun,"9/22/23, 6:12 PM",1.2
Yalkun,"9/22/23, 4:25 PM",2.5
Yalkun,"9/22/23, 3:30 PM",0.3
Yalkun,"9/22/23, 1:10 PM",2.9
Yalkun,"9/22/23, 11:50 AM",1
Yalkun,"9/22/23, 11:00 AM",1
Yalkun,"9/22/23, 10:00 AM",2
Yalkun,"9/22/23, 6:50 AM",2
Yalkun,"9/22/23, 5:30 AM",0.6
Yalkun,"9/22/23, 4:30 AM",1
Yalkun,"9/22/23, 2:30 AM",1.5
Yalkun,"9/21/23, 11:10 PM",3.2
Yalkun,"9/21/23, 7:00 PM",3
Yalkun,"9/21/23, 4:00 PM",3.4
Yalkun,"9/21/23, 2:00 PM",1.1
Yalkun,"9/21/23, 12:00 PM",2.5
Yalkun,"9/21/23, 9:55 AM",1.5
Yalkun,"9/21/23, 8:30 AM",2
Yalkun,"9/21/23, 6:00 AM",1.5
Yalkun,"9/21/23, 3:00 AM",2.5
Yalkun,"9/20/23, 11:40 PM",3.6
Yalkun,"9/20/23, 6:41 PM",2.3
Yalkun,"9/20/23, 3:00 PM",3
Yalkun,"9/20/23, 12:00 PM",1
Yalkun,"9/20/23, 10:15 AM",2
Yalkun,"9/20/23, 8:00 AM",2
Yalkun,"9/20/23, 7:10 AM",0.5
Yalkun,"9/20/23, 5:25 AM",1.5
Yalkun,"9/20/23, 3:09 AM",2
Yalkun,"9/19/23, 11:50 PM",0.8
Yalkun,"9/19/23, 11:00 PM",3.2
Yalkun,"9/19/23, 7:00 PM",1.5
Yalkun,"9/19/23, 5:30 PM",2.6
Yalkun,"9/19/23, 2:45 PM",3.2
Yalkun,"9/19/23, 11:36 AM",3.5
Yalkun,"9/19/23, 8:00 AM",3
Yalkun,"9/19/23, 7:00 AM",1.4
Yalkun,"9/19/23, 3:30 AM",2.6
Yalkun,"9/19/23, 12:25 AM",1
Yalkun,"9/18/23, 11:00 PM",3
Yalkun,"9/18/23, 6:45 PM",3
Yalkun,"9/18/23, 5:30 PM",2.6
Yalkun,"9/18/23, 3:30 PM",2.8
Yalkun,"9/18/23, 12:30 PM",1.8
Yalkun,"9/18/23, 9:30 AM",1.8
Yalkun,"9/18/23, 6:40 AM",1.2
Yalkun,"9/18/23, 4:20 AM",2.8
Yalkun,"9/17/23, 11:40 PM",1.4
Yalkun,"9/17/23, 10:14 PM",2.5
Yalkun,"9/17/23, 6:35 PM",1.6
Yalkun,"9/17/23, 3:30 PM",3
Yalkun,"9/17/23, 1:45 PM",2
Yalkun,"9/17/23, 11:00 AM",2
Yalkun,"9/17/23, 7:45 AM",1.4
Yalkun,"9/17/23, 5:05 AM",1.9
Yalkun,"9/17/23, 2:20 AM",2.2
Yalkun,"9/16/23, 10:36 PM",2.5
Yalkun,"9/16/23, 8:40 PM",2,Dream feed 💤
Yalkun,"9/16/23, 5:30 PM",1.5
Yalkun,"9/16/23, 5:00 PM",1.7
Yalkun,"9/16/23, 3:00 PM",0.8
Yalkun,"9/16/23, 12:00 PM",2.5
Yalkun,"9/16/23, 11:00 AM",0.5
Yalkun,"9/16/23, 6:45 AM",3
Yalkun,"9/16/23, 3:17 AM",3.7
Yalkun,"9/15/23, 9:39 PM",3.4
Yalkun,"9/15/23, 5:20 PM",2.2
Yalkun,"9/15/23, 2:40 PM",2.6
Yalkun,"9/15/23, 11:15 AM",3
Yalkun,"9/15/23, 6:50 AM",2.7
Yalkun,"9/15/23, 4:05 AM",3.1
Yalkun,"9/14/23, 11:33 PM",4
Yalkun,"9/14/23, 7:15 PM",2.6
Yalkun,"9/14/23, 6:30 PM",0.2
Yalkun,"9/14/23, 4:20 PM",2
Yalkun,"9/14/23, 1:28 PM",1.8
Yalkun,"9/14/23, 9:30 AM",1
Yalkun,"9/14/23, 7:37 AM",1
Yalkun,"9/14/23, 4:55 AM",3
Yalkun,"9/14/23, 12:46 AM",3
Yalkun,"9/13/23, 7:30 PM",2.8
Yalkun,"9/13/23, 6:00 PM",2
Yalkun,"9/13/23, 5:19 PM",1
Yalkun,"9/13/23, 4:01 PM",1
Yalkun,"9/13/23, 12:30 PM",3
Yalkun,"9/13/23, 9:50 AM",0.8
Yalkun,"9/13/23, 8:50 AM",1.2
Yalkun,"9/13/23, 7:30 AM",1
Yalkun,"9/13/23, 4:13 AM",3
Yalkun,"9/13/23, 12:35 AM",1.5
Yalkun,"9/12/23, 9:54 PM",3.5
Yalkun,"9/12/23, 6:40 PM",2.6
Yalkun,"9/12/23, 5:50 PM",0.5
Yalkun,"9/12/23, 5:04 PM",0.7
Yalkun,"9/12/23, 3:10 PM",2
Yalkun,"9/12/23, 12:52 PM",0.7
Yalkun,"9/12/23, 11:55 AM",0.9
Yalkun,"9/12/23, 10:14 AM",2.6
Yalkun,"9/12/23, 6:22 AM",3.4
Yalkun,"9/12/23, 1:02 AM",3.4
Yalkun,"9/11/23, 9:34 PM",3.5
Yalkun,"9/11/23, 5:55 PM",1.4
Yalkun,"9/11/23, 4:40 PM",0.8
Yalkun,"9/11/23, 3:44 PM",3
Yalkun,"9/11/23, 12:50 PM",3.5
Yalkun,"9/11/23, 10:16 AM",1.8
Yalkun,"9/11/23, 8:27 AM",2.1
Yalkun,"9/11/23, 5:10 AM",2.5
Yalkun,"9/11/23, 1:32 AM",3.5,Finished in 11 minutes 
Yalkun,"9/10/23, 9:34 PM",4.1
Yalkun,"9/10/23, 5:00 PM",2
Yalkun,"9/10/23, 3:45 PM",2
Yalkun,"9/10/23, 2:18 PM",1.1
Yalkun,"9/10/23, 1:35 PM",1.2
Yalkun,"9/10/23, 12:10 PM",0.7
Yalkun,"9/10/23, 11:10 AM",2.3
Yalkun,"9/10/23, 8:05 AM",1.6
Yalkun,"9/10/23, 5:02 AM",2.8
Yalkun,"9/9/23, 11:57 PM",2.5
Yalkun,"9/9/23, 9:16 PM",2.8
Yalkun,"9/9/23, 5:40 PM",2.7
Yalkun,"9/9/23, 4:01 PM",2.1
Yalkun,"9/9/23, 2:18 PM",0.7
Yalkun,"9/9/23, 12:47 PM",1
Yalkun,"9/9/23, 10:45 AM",2.5
Yalkun,"9/9/23, 6:47 AM",3.5
Yalkun,"9/9/23, 2:35 AM",3
Yalkun,"9/8/23, 9:30 PM",2.5
Yalkun,"9/8/23, 7:18 PM",1
Yalkun,"9/8/23, 4:40 PM",1
Yalkun,"9/8/23, 3:30 PM",1
Yalkun,"9/8/23, 2:15 PM",3.2
Yalkun,"9/8/23, 10:40 AM",3
Yalkun,"9/8/23, 6:05 AM",3.2
Yalkun,"9/8/23, 2:40 AM",3
Yalkun,"9/7/23, 10:10 PM",3
Yalkun,"9/7/23, 7:00 PM",3
Yalkun,"9/7/23, 6:00 PM",0.8
Yalkun,"9/7/23, 3:40 PM",2
Yalkun,"9/7/23, 11:40 AM",3
Yalkun,"9/7/23, 8:45 AM",1.3
Yalkun,"9/7/23, 7:50 AM",0.5
Yalkun,"9/7/23, 6:17 AM",1.5
Yalkun,"9/7/23, 3:15 AM",2.5
Yalkun,"9/6/23, 11:38 PM",2
Yalkun,"9/6/23, 7:58 PM",3
Yalkun,"9/6/23, 6:05 PM",2.9
Yalkun,"9/6/23, 2:10 PM",2
Yalkun,"9/6/23, 11:47 AM",2.8
Yalkun,"9/6/23, 8:50 AM",1.8
Yalkun,"9/6/23, 5:40 AM",1.7
Yalkun,"9/6/23, 3:00 AM",2.5
Yalkun,"9/5/23, 11:30 PM",1.5
Yalkun,"9/5/23, 9:28 PM",1
Yalkun,"9/5/23, 8:00 PM",2.2
Yalkun,"9/5/23, 6:54 PM",0.8
Yalkun,"9/5/23, 5:20 PM",1.9
Yalkun,"9/5/23, 4:54 PM",2.1
Yalkun,"9/5/23, 12:25 PM",2.5
Yalkun,"9/5/23, 10:40 AM",1.5
Yalkun,"9/5/23, 8:40 AM",1
Yalkun,"9/5/23, 6:25 AM",1.5
Yalkun,"9/5/23, 3:43 AM",3
Yalkun,"9/4/23, 11:50 PM",1
Yalkun,"9/4/23, 9:42 PM",3.1
Yalkun,"9/4/23, 6:06 PM",1
Yalkun,"9/4/23, 4:40 PM",2
Yalkun,"9/4/23, 3:15 PM",0.5
Yalkun,"9/4/23, 1:20 PM",4
Yalkun,"9/4/23, 12:10 PM",0.5
Yalkun,"9/4/23, 10:30 AM",2
Yalkun,"9/4/23, 6:30 AM",1.5
Yalkun,"9/4/23, 3:22 AM",3
Yalkun,"9/3/23, 11:00 PM",3
Yalkun,"9/3/23, 7:20 PM",2.7
Yalkun,"9/3/23, 5:00 PM",3.6
Yalkun,"9/3/23, 1:50 PM",0.7
Yalkun,"9/3/23, 12:35 PM",1.5
Yalkun,"9/3/23, 12:05 PM",1
Yalkun,"9/3/23, 11:44 AM",1.5
Yalkun,"9/3/23, 9:50 AM",3
Yalkun,"9/3/23, 8:00 AM",0.6
Yalkun,"9/3/23, 5:20 AM",2.9
Yalkun,"9/3/23, 2:25 AM",2
Yalkun,"9/2/23, 11:30 PM",3
Yalkun,"9/2/23, 7:52 PM",1.5
Yalkun,"9/2/23, 6:50 PM",1.5
Yalkun,"9/2/23, 3:50 PM",2
Yalkun,"9/2/23, 3:00 PM",1
Yalkun,"9/2/23, 12:05 PM",3.2
Yalkun,"9/2/23, 10:00 AM",1.2
Yalkun,"9/2/23, 8:46 AM",1.1
Yalkun,"9/2/23, 7:45 AM",1.1
Yalkun,"9/2/23, 5:00 AM",3.2
Yalkun,"9/1/23, 11:30 PM",2.7
Yalkun,"9/1/23, 9:20 PM",3.6
Yalkun,"9/1/23, 6:15 PM",1
Yalkun,"9/1/23, 5:10 PM",0.8
Yalkun,"9/1/23, 3:51 PM",1.9
Yalkun,"9/1/23, 2:23 PM",0.5
Yalkun,"9/1/23, 1:16 PM",2.3
Yalkun,"9/1/23, 10:05 AM",3.5
Yalkun,"9/1/23, 7:50 AM",2.5
Yalkun,"9/1/23, 3:40 AM",3
Yalkun,"8/31/23, 11:58 PM",2.2
Yalkun,"8/31/23, 9:20 PM",1.4
Yalkun,"8/31/23, 7:37 PM",1
Yalkun,"8/31/23, 5:15 PM",4.2
Yalkun,"8/31/23, 2:00 PM",3.5
Yalkun,"8/31/23, 11:02 AM",1.5
Yalkun,"8/31/23, 10:10 AM",2
Yalkun,"8/31/23, 7:47 AM",1.6
Yalkun,"8/31/23, 6:30 AM",1.4
Yalkun,"8/31/23, 3:41 AM",3
Yalkun,"8/30/23, 10:45 PM",2.4
Yalkun,"8/30/23, 8:15 PM",0.7
Yalkun,"8/30/23, 7:10 PM",3.3
Yalkun,"8/30/23, 4:14 PM",1.5
Yalkun,"8/30/23, 2:19 PM",3.5
Yalkun,"8/30/23, 11:45 AM",2.7
Yalkun,"8/30/23, 9:00 AM",3
Yalkun,"8/30/23, 7:15 AM",1
Yalkun,"8/30/23, 5:10 AM",2
Yalkun,"8/30/23, 1:52 AM",3
Yalkun,"8/29/23, 9:50 PM",3
Yalkun,"8/29/23, 5:54 PM",2.5
Yalkun,"8/29/23, 3:54 PM",3.8
Yalkun,"8/29/23, 12:52 PM",2.2
Yalkun,"8/29/23, 12:49 PM",1.2
Yalkun,"8/29/23, 11:28 AM",1.8
